"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
NA,2015-02-28,2000,2015-03-02,959,"CAR PROWL","THEFT-CARPROWL","WEST",NA,"K1","DOWNTOWN COMMERCIAL"
2015000055634,2015-02-17,NA,2015-02-18,35,"THEFT-BUILDING","THEFT-BUILDING","WEST","K","K2","PIONEER SQUARE"
20120000314844,2012-09-14,1700,2012-09-17,900,"THEFT-ALL OTHER","THEFT-OTH","SOUTH","O",NA,"GEORGETOWN"
20080000424538,2008-11-08,1715,2008-11-12,906,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","EAST","E","E2","CAPITOL HILL"
20140000382741,2014-11-15,1034,2014-11-15,1036,"THEFT-BICYCLE","THEFT-BICYCLE","EAST","C","C2","MILLER PARK"
20140000259428,NA,30,2014-08-06,1349,"THEFT-BUILDING",NA,"NORTH","B","B3","WALLINGFORD"
20180000234618,2018-06-26,1400,2018-06-27,953,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","J","J1","GREENWOOD"
20150000428067,NA,725,2015-12-10,836,"THEFT-BICYCLE","THEFT-BICYCLE","NORTH","B","B1",NA
20080000172668,2008-05-08,1630,2008-05-14,946,NA,"BURGLARY-FORCE-NONRES","NORTH","B","B2","PHINNEY RIDGE"
20150000908097,2015-12-03,500,2015-12-05,426,NA,"THEFT-OTH","WEST",NA,"K1","DOWNTOWN COMMERCIAL"
20110000323590,2011-10-02,48,2011-10-02,48,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","NORTH","J","J3","ROOSEVELT/RAVENNA"
20090000321814,2009-09-11,1015,2009-09-11,1300,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","WEST","K","K1","DOWNTOWN COMMERCIAL"
2014000027400,2014-01-25,1605,2014-01-25,1605,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-WEAPON","SOUTH","R","R2","MOUNT BAKER"
20090000171465,2009-05-20,NA,2009-05-20,431,"ROBBERY-COMMERCIAL","ROBBERY-BUSINESS-GUN","NORTH","J","J3","PHINNEY RIDGE"
20170000127436,2017-04-12,639,2017-04-12,639,"TRESPASS","TRESPASS","NORTH","B","B1","BALLARD SOUTH"
20150000109380,2015-03-01,NA,2015-04-04,106,"CAR PROWL","THEFT-LICENSE PLATE","NORTH","J","J1","GREENWOOD"
20100000189879,2010-06-06,1355,2010-06-06,1435,"ROBBERY-COMMERCIAL","ROBBERY-BUSINESS-WEAPON","WEST","D","D1","BELLTOWN"
20180000903474,2018-04-22,1345,NA,2329,"THEFT-ALL OTHER",NA,"WEST","M","M1",NA
